CSAPÁGYAK	GOLYÓS CSAPÁGY	MÉLYHORNYÚ GOLYÓSCSAPÁGY	EGYSORÚ MÉLYHORNYÚ GOLYÓSCSAPÁGY	BECO fagyálló egysorú mélyhornyú golyóscsapágy
				HFB öntött Y csapágyegység, kör alakú házzal
				IGUS műanyag Y csapágyegység, ovális alakú házzal
				INA feszítő Y-csapágyegység öntöttvas házzal
				INA öntött Y csapágyegys. ovális alakú kompakt ház
				INA öntött Y csapágyegység ovális kompakt házzal
				INA öntött Y csapágyegység, háromszög alakú házzal
				INA öntött Y csapágyegység, kör alakú házzal
				INA öntött Y csapágyegység, négyzet alakú házzal
				INA öntött Y csapágyegység, ovális alakú házzal
				INA öntött, álló Y csapágyegység
				INA öntött, álló Y csapágyegység (zsákfurattal)
				INA Y csapágyegység
				KELETI feszítő Y-csapágyegység öntöttvas házzal
				KELETI négyszög csap.egys, négyszög furatú csapágy
				KELETI öntött álló Y csapágyegység
				KELETI öntött álló Y csapágyegység (zsákfurattal)
				KELETI öntött Y csap.egys ovális házzal rozsdament
				KELETI öntött Y csapágyegység négyzet alakú házzal
				KELETI öntött Y csapágyegység, kör alakú házzal
				KELETI öntött Y csapágyegység, négyzet alakú h.
				KELETI öntött Y csapágyegység, ovális alakú ház
				KELETI öntött Y csapágyegység, ovális alakú házzal
				KELETI Y csapágyegység
				KOYO feszítő Y-csapágyegység öntöttvas házzal
				KOYO öntött Y csapágyegység, kör alakú házzal
				KOYO öntött Y csapágyegység, négyzet alakú házzal
				KOYO öntött Y csapágyegység, ovális alakú házzal
				KOYO öntött, álló Y csapágyegység
				KOYO öntött, álló Y csapágyegység (zsákfurattal)
				KOYO Y csapágyegység
				NKE öntött Y csapágyegység ovális kompakt házzal
				NKE öntött Y csapágyegység, kör alakú házzal
				NSK öntött Y csapágyegység, kör alakú házzal
				NSK öntött, álló Y csapágyegység
				NTN feszítő Y-csapágyegység öntöttvas házzal
				NTN öntött Y csapágyegység, kör alakú házzal
				NTN öntött Y csapágyegység, négyzet alakú házzal
				NTN öntött, álló Y csapágyegység
				NTN Y csapágyegység
				RHP öntött Y csapágyegység, kör alakú házzal
				SEALMASTER öntött Y csapágyegység ovális alakú ház
				SKF ConCentra csapágyegység
				SKF élelmiszeripari Y csapágyegység
				SKF feszítő Y-csapágyegység öntöttvas házzal
				SKF Food Line Y-csapágyegység (négyzet)
				SKF Food Line Y-csapágyegység (ovális)
				SKF Food Line Y-csapágyház (négyzet)
